Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2015,Chỉ số giá tiêu dùng,1,99.8,1,Total CPI,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2015,Hàng ăn và dịch vụ ăn uống,1,100.28,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2015,Lương thực,1,100.03,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2015,Thực phẩm,1,100.42,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2015,Đồ uống và thuốc lá,1,100.37,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2015,"May mặc, mũ nón, giày dép",1,100.51,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2015,Nhà ở và vật liệu xây dựng,1,98.91,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2015,Thiết bị và đồ dùng gia đình,1,100.18,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2015,Thuốc và dịch vụ y tế,1,100.29,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Healthcare
2015,Giao thông,1,96.04,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Transport
2015,Bưu chính viễn thông,1,99.93,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2015,Giáo dục,1,100.08,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2015,"Văn hóa, giải trí và du lịch",1,100.13,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2015,Hàng hoá và dịch vụ khác,1,100.53,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2015,Chỉ số giá vàng,1,100.55,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Financial/Other
2015,Chỉ số đô la Mỹ,1,100.23,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Financial/Other
2014,Chỉ số giá tiêu dùng,1,100.69,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Hàng ăn và dịch vụ ăn uống,1,100.77,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2014,Lương thực,1,101.33,1,Sub-category,Economic Growth,True,High Inflation,Winter/Tet,Food & Beverage
2014,Thực phẩm,1,100.75,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2014,Đồ uống và thuốc lá,1,100.83,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,"May mặc, mũ nón, giày dép",1,100.89,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Nhà ở và vật liệu xây dựng,1,101.02,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2014,Thiết bị và đồ dùng gia đình,1,100.39,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Thuốc và dịch vụ y tế,1,100.17,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Healthcare
2014,Giao thông,1,101.22,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Transport
2014,Bưu chính viễn thông,1,100.0,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Giáo dục,1,100.01,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2014,"Văn hóa, giải trí và du lịch",1,100.21,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Hàng hoá và dịch vụ khác,1,100.63,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2014,Chỉ số giá vàng,1,98.18,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2014,Chỉ số đô la Mỹ,1,99.94,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2013,Chỉ số giá tiêu dùng,1,101.25,1,Total CPI,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2013,Hàng ăn và dịch vụ ăn uống,1,101.34,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Food & Beverage
2013,Lương thực,1,100.15,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2013,Thực phẩm,1,101.96,1,Sub-category,Economic Growth,True,High Inflation,Winter/Tet,Food & Beverage
2013,Đồ uống và thuốc lá,1,100.42,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2013,"May mặc, mũ nón, giày dép",1,101.3,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2013,Nhà ở và vật liệu xây dựng,1,100.36,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2013,Thiết bị và đồ dùng gia đình,1,100.54,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2013,Thuốc và dịch vụ y tế,1,107.4,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Healthcare
2013,Giao thông,1,100.03,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Transport
2013,Bưu chính viễn thông,1,99.95,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2013,Giáo dục,1,100.3,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2013,"Văn hóa, giải trí và du lịch",1,100.33,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2013,Hàng hoá và dịch vụ khác,1,100.74,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2013,Chỉ số giá vàng,1,98.27,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2013,Chỉ số đô la Mỹ,1,99.92,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2012,Chỉ số giá tiêu dùng,1,101.0,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2012,Hàng ăn và dịch vụ ăn uống,1,101.01,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Food & Beverage
2012,Lương thực,1,99.86,1,Sub-category,Economic Growth,True,Deflation,Winter/Tet,Food & Beverage
2012,Thực phẩm,1,101.41,1,Sub-category,Economic Growth,True,High Inflation,Winter/Tet,Food & Beverage
2012,Đồ uống và thuốc lá,1,101.17,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2012,"May mặc, mũ nón, giày dép",1,101.97,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2012,Nhà ở và vật liệu xây dựng,1,101.71,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,General/Housing
2012,Thiết bị và đồ dùng gia đình,1,100.96,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2012,Thuốc và dịch vụ y tế,1,100.25,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Healthcare
2012,Giao thông,1,100.66,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Transport
2012,Bưu chính viễn thông,1,99.99,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2012,Giáo dục,1,100.02,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2012,"Văn hóa, giải trí và du lịch",1,100.93,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2012,Hàng hoá và dịch vụ khác,1,101.0,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2012,Chỉ số giá vàng,1,96.38,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
