Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,08,22,3339.94,3378.79,3321.44,3371.86,66790.0,"1,645.47","1,688.00","1,691.71","1,629.49",2.23B,-2.52%,"26,350.0","26,428.0","26,447.5","26,320.0",,-0.31%,,,,,,,,,,
2025,08,21,3351.04,3352.06,3325.17,3338.44,64006.0,"1,688.00","1,664.36","1,693.68","1,664.36",1.64B,1.42%,"26,432.5","26,400.5","26,457.0","26,328.5",,0.16%,18460.0,,17900.0,,,17810.0,19840.0,19460.0,20090.0,
2025,08,20,3316.47,3350.19,3311.55,3347.8,67805.0,"1,664.36","1,654.20","1,672.70","1,614.60",2.28B,0.61%,"26,390.0","26,321.0","26,390.0","26,290.0",,0.27%,,,,,,,,,,
2025,08,19,3333.25,3345.29,3314.89,3315.6,68868.0,"1,654.20","1,636.37","1,665.48","1,636.37",1.79B,1.09%,"26,320.0","26,305.0","26,331.0","26,282.5",,0.08%,,,,,,,,,,
2025,08,18,3335.35,3358.39,3323.62,3332.89,66798.0,"1,636.37","1,630.00","1,642.71","1,625.61",1.51B,0.39%,"26,300.0","26,272.0","26,309.5","26,245.0",,0.11%,,,,,,,,,,
2025,08,15,3336.51,3348.67,3332.2,3336.08,67349.0,"1,630.00","1,640.69","1,666.54","1,615.26",2.01B,-0.65%,"26,270.0","26,270.0","26,332.5","26,245.0",,0.02%,,,,,,,,,,
2025,08,14,3357.05,3374.81,3329.85,3334.75,79119.0,"1,640.69","1,611.60","1,641.28","1,611.60",1.75B,1.81%,"26,265.0","26,282.0","26,303.5","26,245.0",,-0.10%,18630.0,,18070.0,,,18020.0,19660.0,19350.0,19880.0,
2025,08,13,3349.92,3370.76,3342.72,3355.97,70839.0,"1,611.60","1,608.22","1,618.31","1,585.54",1.86B,0.21%,"26,290.0","26,261.0","26,332.5","26,230.0",,0.08%,,,,,,,,,,
2025,08,12,3344.31,3359.03,3331.13,3348.28,75882.0,"1,608.22","1,596.86","1,608.34","1,591.18",1.58B,0.71%,"26,270.0","26,238.5","26,282.5","26,200.0",,0.14%,,,,,,,,,,
2025,08,11,3400.5,3401.85,3341.4,3342.29,86369.0,"1,596.86","1,584.95","1,601.79","1,584.95",1.59B,0.75%,"26,233.0","26,228.0","26,239.0","26,218.5",,0.03%,,,,,,,,,,
2025,08,08,3402.94,3408.84,3376.62,3397.14,105874.0,"1,584.95","1,581.81","1,592.52","1,565.45",1.82B,0.20%,"26,225.0","26,210.0","26,237.5","26,170.0",,0.04%,,,,,,,,,,
2025,08,07,3372.59,3401.81,3365.3,3395.84,88988.0,"1,581.81","1,573.71","1,588.38","1,567.72",1.61B,0.51%,"26,215.0","26,213.0","26,237.0","26,199.0",,-0.04%,19200.0,,18800.0,,,18660.0,19830.0,19600.0,20070.0,
2025,08,06,3381.14,3385.62,3358.24,3368.4,72233.0,"1,573.71","1,547.15","1,574.34","1,547.15",1.33B,1.72%,"26,225.0","26,245.0","26,282.5","26,186.0",,-0.10%,,,,,,,,,,
2025,08,05,3376.19,3390.38,3349.99,3380.47,66618.0,"1,547.15","1,528.19","1,584.98","1,519.08",2.70B,1.24%,"26,250.0","26,185.0","26,263.5","26,164.0",,0.28%,,,,,,,,,,
